,p_id,name,price,colour,brand,ratingCount,avg_rating,Occasion,Border,Fabric,Ornamentation,Pattern,Print or Pattern Type,Sustainable,Technique,Wash Care,Wedding,AddOns
0,1518329,Dupatta Bazaar White Embroidered Chiffon Dupatta,899,White,dupatta bazaar,1321,4.548826646,Daily,,,,Embroidered,Floral,,,,,
1,10711448,Dupatta Bazaar Women White Solid Dupatta,599,White,dupatta bazaar,1531,4.536250816,Daily,Taping,Poly Chiffon,NA,Solid,Solid,,NA,Hand Wash,,
2,14964708,Dupatta Bazaar Orange & Green Dyed Art Silk Bandhani Dupatta,899,Orange,dupatta bazaar,30,4.366666667,Daily,Woven Design,Art Silk,NA,Dyed,Bandhani,Regular,Bandhani,Machine Wash,,
3,13552234,Dupatta Bazaar Black Solid Dupatta,599,Black,dupatta bazaar,232,4.547413793,Daily,Solid,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,,
4,17663032,Dupatta Bazaar Women's Solid Orange Dupatta,599,Orange,dupatta bazaar,0,0,Party,Woven Design,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,Guests & Gifting,
5,12866574,Dupatta Bazaar Maroon Solid Dupatta,699,Maroon,dupatta bazaar,118,4.245762712,Daily,Fringed,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,,
6,17662986,Dupatta Bazaar Green Striped Tie and Dye Dupatta,999,Green,dupatta bazaar,0,0,Party,Embellished,Silk Blend,NA,Striped,Leheriya,Regular,Tie and Dye,Hand Wash,Guests & Gifting,
7,15514526,Dupatta Bazaar Navy Blue Embroidered Dupatta with Mirror Work,999,Navy Blue,dupatta bazaar,41,4.536585366,Party,Taping,Poly Chiffon,Mirror Work,Embroidered,Geometric,Regular,NA,Dry Clean,Guests & Gifting,
8,14447434,Dupatta Bazaar White Ethnic Motifs Embroidered Dupatta,999,White,dupatta bazaar,47,4.382978723,Daily,Taping,Poly Chiffon,NA,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,,
9,13041774,Dupatta Bazaar Women Pink & Off-White Striped Leheriya Dupatta,1399,Pink,dupatta bazaar,0,0,Party,Taping,Poly Chiffon,Gotta Patti,Printed,Leheriya,Regular,Leheriya,Hand Wash,Guests & Gifting,
10,10588018,Dupatta Bazaar White Dyed Dupatta,499,White,dupatta bazaar,154,4.415584416,Daily,Fringed,Poly Chiffon,NA,Dyed,Solid,,NA,Machine Wash,,
11,14447530,Dupatta Bazaar Pink & Gold-Toned Woven Design Banarasi Pure Silk Dupatta,1499,Pink,dupatta bazaar,12,4,Daily,Tasselled,Pure Silk,NA,Woven Design,Floral,Regular,NA,Dry Clean,,
12,17663034,Dupatta Bazaar Off White & Gold-Toned Embroidered Dupatta,999,Off White,dupatta bazaar,7,4.571428571,Party,Embellished,Net,Sequinned,Embroidered,Solid,Regular,NA,Dry Clean,Guests & Gifting,
13,996728,Dupatta Bazaar Beige Silk Dupatta,599,Beige,dupatta bazaar,173,4.098265896,Daily,,,Zari,Solid,,,,,,
14,14160408,Dupatta Bazaar Silver-Toned Solid Dupatta,899,Silver,dupatta bazaar,12,4.666666667,Daily,Tasselled,Silk Blend,NA,Solid,Solid,Regular,NA,Hand Wash,,
15,10487070,Dupatta Bazaar Off-White Solid Dupatta,599,Off White,dupatta bazaar,59,4.084745763,Daily,Fringed,Silk Blend,NA,Solid,Solid,,NA,Machine Wash,,
16,18652504,Dupatta Bazaar Yellow & Pink Embroidered Dupatta with Thread Work,6999,Yellow,dupatta bazaar,0,0,Party,Taping,Viscose Georgette,Thread Work,Embroidered,Floral,Regular,NA,Dry Clean,Bride & Wedding Squad,
17,14160340,Dupatta Bazaar White Embroidered Chiffon Dupatta,999,White,dupatta bazaar,15,4.133333333,Daily,Taping,Poly Chiffon,Thread Work,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,,
18,12866552,Dupatta Bazaar Orange Solid Dupatta,699,Orange,dupatta bazaar,21,4.19047619,Daily,Fringed,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,,
19,17662850,Dupatta Bazaar Gold-Toned Embroidered Dupatta with Gotta Patti,999,Gold,dupatta bazaar,9,4,Party,Embellished,Net,Gotta Patti,Embroidered,Geometric,Regular,NA,Dry Clean,Guests & Gifting,
20,17662820,Dupatta Bazaar Maroon Dupatta,599,Maroon,dupatta bazaar,0,0,Party,Woven Design,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,Guests & Gifting,
21,996729,Dupatta Bazaar White Silk Dupatta,599,White,dupatta bazaar,33,4.181818182,Daily,,,,Solid,,,,,,
22,12047844,Dupatta Bazaar Beige & Gold-Coloured Embellished Dupatta,799,Beige,dupatta bazaar,207,3.739130435,Party,Embellished,Net,Beads and Stones,Solid,Solid,Regular,NA,Hand Wash,Guests & Gifting,
23,15043152,Dupatta Bazaar Maroon & Black Ethnic Motifs Block Printed Dupatta,3499,Maroon,dupatta bazaar,9,4.555555556,Party,Solid,Silk Blend,NA,Printed,Ethnic Motifs,Regular,Block Print,Dry Clean,,
24,17662882,Dupatta Bazaar Red Woven Design Dupatta with Sequinned Detail,999,Red,dupatta bazaar,0,0,Party,Embellished,Net,Sequinned,Woven Design,Geometric,Regular,NA,Dry Clean,NA,
25,10358133,Dupatta Bazaar Red & Gold-Coloured Woven Design Dupatta,699,Red,dupatta bazaar,51,4.37254902,Daily,Solid,Poly Chiffon,NA,Woven Design,Polka Dots,,NA,Machine Wash,,
26,18207362,Dupatta Bazaar Black Linen Dupatta,899,Black,dupatta bazaar,0,0,Daily,Tasselled,Linen,NA,Solid,Solid,Regular,NA,Hand Wash,NA,
27,18207274,Dupatta Bazaar Pink & Gold-Toned Ethnic Motifs Printed Art Silk Dupatta,899,Pink,dupatta bazaar,0,0,Party,Tasselled,Art Silk,NA,Printed,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
28,17662918,Dupatta Bazaar White & Gold-Toned Embroidered Net Dupatta,999,White,dupatta bazaar,5,4.2,Party,Embellished,Net,Sequinned,Embroidered,Solid,Regular,NA,Dry Clean,Guests & Gifting,
29,18068014,Dupatta Bazaar Women Red Embroidered Chiffon Dupatta,799,Red,dupatta bazaar,0,0,Party,Taping,Poly Chiffon,NA,Embroidered,Floral,Regular,NA,Machine Wash,Guests & Gifting,
30,12967844,Dupatta Bazaar Black Embroidered Dupatta,899,Black,dupatta bazaar,18,4.444444444,Party,Tasselled,Poly Chiffon,NA,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
31,1518333,Dupatta Bazaar White & Gold-Toned Embroidered & Embellished Chiffon Dupatta,899,White,dupatta bazaar,87,4.022988506,Party,Taping,Poly Chiffon,Thread Work,Embroidered,Polka Dots,Regular,NA,Hand Wash,Guests & Gifting,
32,13552264,Dupatta Bazaar Pink & Gold-Toned Woven Design Dupatta,799,Pink,dupatta bazaar,16,3.3125,Daily,Fringed,Silk Blend,NA,Woven Design,Striped,Regular,NA,Hand Wash,,
33,1852518,Dupatta Bazaar Red & Orange Silk Bandhani Print Dupatta,2399,Red,dupatta bazaar,11,3.727272727,Party,,,Gotta Patti,Printed,Bandhani,,Bandhani,,,
34,18652572,Dupatta Bazaar Olive Green Printed Tie and Dye Dupatta,499,Olive,dupatta bazaar,5,4.4,Daily,Taping,Poly Chiffon,NA,Printed,Bandhani,Regular,Tie and Dye,Hand Wash,Guests & Gifting,
35,18976780,Dupatta Bazaar Blue & Gold-Toned Woven Design Organza Dupatta,999,Blue,dupatta bazaar,0,0,Party,Tasselled,Organza,NA,Woven Design,Striped,Regular,NA,Hand Wash,Guests & Gifting,
